putEMG — EMG_TCN LOSO Results
====================================================================
Subject                       Test Acc    Val Acc   Epoch  Date
--------------------------------------------------------------------
emg_gestures_03_U.mat           98.21%     94.85%      20  2026-04-20
emg_gestures_04_U.mat           71.07%     92.69%       9  2026-04-20
emg_gestures_05_U.mat           67.14%     94.68%      17  2026-04-20
emg_gestures_06_U.mat           53.93%     94.02%      11  2026-04-20
emg_gestures_07_U.mat           63.57%     91.03%       5  2026-04-20
emg_gestures_08_U.mat           73.21%     94.10%      19  2026-04-20
emg_gestures_09_U.mat           82.50%     94.10%      20  2026-04-20
emg_gestures_10_U.mat           88.93%     92.11%       6  2026-04-20
emg_gestures_11_U.mat           73.57%     94.02%      19  2026-04-20
emg_gestures_12_U.mat           92.50%     94.52%      20  2026-04-20
emg_gestures_13_U.mat           79.29%     95.43%      16  2026-04-20
emg_gestures_14_U.mat           99.29%     95.18%      20  2026-04-20
emg_gestures_15_U.mat           85.00%     93.60%      13  2026-04-20
emg_gestures_16_U.mat           62.50%     94.10%      18  2026-04-20
emg_gestures_17_U.mat           65.36%     93.94%      20  2026-04-20
emg_gestures_18_U.mat           71.07%     91.03%       5  2026-04-20
emg_gestures_19_U.mat           70.36%     93.44%       8  2026-04-20
emg_gestures_20_U.mat           76.79%     94.19%      18  2026-04-20
emg_gestures_22_U.mat           78.21%     92.03%       8  2026-04-20
emg_gestures_23_U.mat           86.07%     94.02%      17  2026-04-21
emg_gestures_24_U.mat           95.00%     90.70%       4  2026-04-21
emg_gestures_25_U.mat           66.07%     95.18%      20  2026-04-21
emg_gestures_26_U.mat           56.07%     95.18%      18  2026-04-21
emg_gestures_27_U.mat           97.50%     93.69%      14  2026-04-21
emg_gestures_29_U.mat           93.57%     94.52%      20  2026-04-21
emg_gestures_30_U.mat           76.79%     92.86%      13  2026-04-21
emg_gestures_31_U.mat           68.93%     93.85%      16  2026-04-21
emg_gestures_33_U.mat           93.21%     92.69%      12  2026-04-21
emg_gestures_34_U.mat           72.86%     92.94%       9  2026-04-21
emg_gestures_35_U.mat           96.79%     93.36%      16  2026-04-21
emg_gestures_36_U.mat           88.21%     94.27%      18  2026-04-21
emg_gestures_38_U.mat           86.43%     92.94%      19  2026-04-21
emg_gestures_39_U.mat           75.71%     93.77%      13  2026-04-21
emg_gestures_42_U.mat           81.43%     93.19%      13  2026-04-21
emg_gestures_43_U.mat           84.64%     95.85%      16  2026-04-21
emg_gestures_45_U.mat           84.29%     92.52%      11  2026-04-21
emg_gestures_46_U.mat           89.29%     93.11%      11  2026-04-21
emg_gestures_47_U.mat           61.07%     93.27%      12  2026-04-21
emg_gestures_48_U.mat           99.29%     93.94%      16  2026-04-21
emg_gestures_49_U.mat           93.93%     94.44%      18  2026-04-21
emg_gestures_50_U.mat           94.29%     94.27%      19  2026-04-21
emg_gestures_51_U.mat           77.14%     93.69%      18  2026-04-21
emg_gestures_53_U.mat           91.79%     93.85%      20  2026-04-21
emg_gestures_54_U.mat           90.71%     94.44%      19  2026-04-21
====================================================================
Mean: 80.76%  ±  12.38%  (44 / 44 folds complete)
