putEMG — ShallowConvNet LOSO Results
====================================================================
Subject                       Test Acc    Val Acc   Epoch  Date
--------------------------------------------------------------------
emg_gestures_03_U.mat           77.50%     81.98%      10  2026-04-21
emg_gestures_04_U.mat           70.71%     82.89%       9  2026-04-21
emg_gestures_05_U.mat           63.57%     84.39%      17  2026-04-21
emg_gestures_06_U.mat           48.93%     84.63%      14  2026-04-21
emg_gestures_07_U.mat           53.93%     79.82%       5  2026-04-21
emg_gestures_08_U.mat           71.79%     83.80%      11  2026-04-21
emg_gestures_09_U.mat           78.21%     82.14%       9  2026-04-21
emg_gestures_10_U.mat           85.00%     83.22%      18  2026-04-21
emg_gestures_11_U.mat           63.57%     84.30%      13  2026-04-21
emg_gestures_12_U.mat           66.79%     81.23%      12  2026-04-21
emg_gestures_13_U.mat           81.79%     83.97%      20  2026-04-21
emg_gestures_14_U.mat           86.43%     81.81%      20  2026-04-21
emg_gestures_15_U.mat           81.43%     83.14%      14  2026-04-21
emg_gestures_16_U.mat           67.14%     82.39%      13  2026-04-21
emg_gestures_17_U.mat           37.50%     78.07%       5  2026-04-21
emg_gestures_18_U.mat           73.93%     84.22%      19  2026-04-21
emg_gestures_19_U.mat           79.64%     80.32%      15  2026-04-21
emg_gestures_20_U.mat           65.36%     82.81%      10  2026-04-21
emg_gestures_22_U.mat           72.50%     77.99%       7  2026-04-21
emg_gestures_23_U.mat           67.14%     82.64%      14  2026-04-21
emg_gestures_24_U.mat           83.93%     81.64%       6  2026-04-21
emg_gestures_25_U.mat           63.57%     81.89%       9  2026-04-21
emg_gestures_26_U.mat           53.21%     84.97%      11  2026-04-21
emg_gestures_27_U.mat           95.00%     83.14%      20  2026-04-21
emg_gestures_29_U.mat           75.00%     78.65%       5  2026-04-21
emg_gestures_30_U.mat           74.29%     83.39%      15  2026-04-21
emg_gestures_31_U.mat           56.43%     82.89%      12  2026-04-21
emg_gestures_33_U.mat           86.07%     81.98%      19  2026-04-21
emg_gestures_34_U.mat           70.71%     78.49%       7  2026-04-21
emg_gestures_35_U.mat           91.07%     85.38%      15  2026-04-21
emg_gestures_36_U.mat           70.71%     81.64%       9  2026-04-21
emg_gestures_38_U.mat           66.79%     79.98%      20  2026-04-21
emg_gestures_39_U.mat           75.00%     80.56%       5  2026-04-21
emg_gestures_42_U.mat           76.79%     81.48%      11  2026-04-21
emg_gestures_43_U.mat           78.21%     83.39%      13  2026-04-21
emg_gestures_45_U.mat           78.57%     80.98%      18  2026-04-21
emg_gestures_46_U.mat           84.29%     83.14%      12  2026-04-21
emg_gestures_47_U.mat           60.36%     82.89%      13  2026-04-21
emg_gestures_48_U.mat           92.14%     81.56%      17  2026-04-22
emg_gestures_49_U.mat           85.00%     81.56%       7  2026-04-22
emg_gestures_50_U.mat           90.00%     82.97%      16  2026-04-22
emg_gestures_51_U.mat           70.71%     84.72%      19  2026-04-22
emg_gestures_53_U.mat           76.43%     81.48%      18  2026-04-22
emg_gestures_54_U.mat           81.43%     82.31%       9  2026-04-22
====================================================================
Mean: 73.38%  ±  11.94%  (44 / 44 folds complete)
