phase        = baseline
protocol     = cross
approach     = DL
model        = EEGNet
channels     = 24
date         = 2026-06-12

subject    val_acc   test_acc   epochs
------------------------------------------
03          91.62%     84.93%    18.0
04          92.24%     81.50%    14.0
05          92.56%     71.06%    10.0
06          94.00%     62.00%    20.0
07          91.62%     70.65%     6.0
08          91.27%     87.73%    10.0
09          91.45%     82.78%    17.0
10          91.53%     95.65%    19.0
11          92.06%     76.60%    19.0
12          91.27%     79.57%    11.0
13          92.37%     81.69%    14.0
14          91.02%     97.42%    20.0
15          89.81%     81.75%     7.0
16          92.48%     80.67%    19.0
17          90.59%     59.39%    16.0
18          91.19%     90.29%    15.0
19          89.98%     72.20%     8.0
20          91.79%     89.22%    20.0
22          89.13%     76.16%    10.0
23          90.59%     78.39%    11.0
24          90.24%     94.33%    11.0
25          91.71%     83.77%    17.0
26          90.59%     60.29%     9.0
27          91.44%     93.57%    20.0
29          91.46%     96.51%    15.0
30          89.66%     80.45%    12.0
31          91.37%     76.25%     9.0
33          91.44%     97.82%    17.0
34          89.91%     81.45%     8.0
35          90.86%     91.02%    10.0
36          91.46%     81.34%    18.0
38          89.92%     98.48%    12.0
39          90.68%     75.84%     9.0
42          92.12%     81.29%    19.0
43          91.18%     90.00%    19.0
45          89.14%     85.87%    14.0
46          90.50%     90.88%     7.0
47          91.27%     52.16%    10.0
48          91.95%     96.03%    14.0
49          91.53%     94.91%    12.0
50          90.68%     91.25%    14.0
51          91.45%     84.94%    16.0
53          92.56%     95.19%    18.0
54          90.95%     96.91%    15.0

mean_val  = 91.20%  ±  0.96%
mean_test = 83.41%  ±  11.07%
best      = 38 (98.48%)
worst     = 47 (52.16%)
n         = 44/44
