phase        = baseline
protocol     = cross
approach     = DL
model        = EMG_TCN
channels     = 24
date         = 2026-06-12

subject    val_acc   test_acc   epochs
------------------------------------------
03          95.98%     86.76%    14.0
04          96.33%     70.08%    11.0
05          95.21%     77.66%    11.0
06          98.03%     57.67%    19.0
07          96.15%     65.22%    10.0
08          95.04%     87.73%    10.0
09          94.18%     80.95%     6.0
10          94.78%     94.93%     7.0
11          96.16%     88.68%    11.0
12          94.09%     93.19%     8.0
13          95.97%     83.80%    14.0
14          95.64%     98.15%     9.0
15          96.32%     85.77%    13.0
16          94.70%     85.50%     8.0
17          93.67%     55.94%     3.0
18          96.32%     86.69%    16.0
19          96.23%     76.53%    13.0
20          95.12%     82.53%     9.0
22          95.98%     71.53%    18.0
23          95.81%     81.32%    19.0
24          94.61%     92.20%    10.0
25          95.64%     82.64%    16.0
26          95.89%     57.76%    20.0
27          96.58%     97.14%    18.0
29          96.24%     91.86%    13.0
30          94.02%     81.95%     5.0
31          95.64%     77.78%    18.0
33          94.95%     94.91%    12.0
34          93.67%     77.09%     6.0
35          95.82%     96.88%    18.0
36          95.22%     94.40%     8.0
38          95.13%     96.21%    19.0
39          96.32%     78.81%    20.0
42          95.29%     96.76%     9.0
43          96.06%     85.00%    19.0
45          95.47%     90.58%    10.0
46          95.89%     97.45%    12.0
47          95.21%     66.55%    11.0
48          94.86%     94.58%     9.0
49          95.21%     93.09%    14.0
50          95.73%     98.48%    13.0
51          95.21%     82.24%    11.0
53          95.81%     98.52%    14.0
54          93.77%     97.68%     7.0

mean_val  = 95.45%  ±  0.87%
mean_test = 84.80%  ±  11.56%
best      = 53 (98.52%)
worst     = 17 (55.94%)
n         = 44/44
