phase        = baseline
protocol     = cross
approach     = DL
model        = ShallowConvNet
channels     = 24
date         = 2026-06-12

subject    val_acc   test_acc   epochs
------------------------------------------
03          91.45%     96.69%    13.0
04          89.93%     79.92%     8.0
05          92.13%     75.82%    20.0
06          93.14%     61.67%    20.0
07          91.53%     69.93%    11.0
08          90.68%     84.39%     8.0
09          91.36%     87.91%     9.0
10          92.30%     93.48%    15.0
11          90.09%     67.92%     3.0
12          92.29%     84.59%     9.0
13          92.46%     84.86%    17.0
14          91.10%     98.15%     6.0
15          92.47%     79.93%    16.0
16          91.45%     70.63%    11.0
17          90.25%     72.03%     5.0
18          91.02%     93.88%     7.0
19          89.55%     75.09%     6.0
20          91.02%     86.62%    15.0
22          90.58%     83.99%    11.0
23          91.87%     83.15%    14.0
24          91.78%     88.30%    19.0
25          92.31%     83.77%    20.0
26          90.93%     57.04%     8.0
27          90.50%     95.00%     9.0
29          88.98%     96.12%     4.0
30          92.14%     81.95%    17.0
31          91.62%     78.54%     7.0
33          90.92%     98.18%    12.0
34          87.85%     78.55%     5.0
35          89.33%     87.50%     5.0
36          91.29%     85.07%    10.0
38          90.09%     92.42%     7.0
39          90.85%     77.32%    18.0
42          90.58%     82.01%     8.0
43          90.41%     88.57%     7.0
45          90.42%     92.39%    10.0
46          91.01%     91.61%    11.0
47          90.58%     61.51%     5.0
48          90.67%     91.70%     9.0
49          90.50%     91.27%    14.0
50          90.68%     94.30%     7.0
51          90.85%     81.47%    10.0
53          88.88%     91.48%     9.0
54          91.12%     95.75%    13.0

mean_val  = 90.93%  ±  1.04%
mean_test = 83.92%  ±  10.13%
best      = 33 (98.18%)
worst     = 26 (57.04%)
n         = 44/44
