phase        = baseline
protocol     = cross
approach     = feature
model        = FeatureMLP
channels     = 24
date         = 2026-06-13

subject    val_acc   test_acc   epochs
------------------------------------------
03          78.57%     69.85%    18.0
04          80.84%     58.66%    19.0
05          79.64%     50.18%    20.0
06          80.83%     39.67%    20.0
07          81.64%     50.72%    20.0
08          79.37%     71.38%    18.0
09          80.36%     67.40%    19.0
10          80.15%     62.32%    18.0
11          80.49%     57.36%    20.0
12          80.28%     71.68%    20.0
13          79.96%     75.00%    19.0
14          79.94%     94.10%    19.0
15          78.70%     64.96%    19.0
16          79.60%     63.20%    18.0
17          80.74%     61.30%    20.0
18          80.99%     71.22%    20.0
19          79.89%     59.57%    19.0
20          78.89%     67.66%    16.0
22          79.21%     50.53%    20.0
23          78.03%     48.72%    19.0
24          79.57%     74.11%    16.0
25          79.65%     57.36%    20.0
26          80.28%     39.71%    19.0
27          81.65%     79.29%    19.0
29          80.36%     81.40%    20.0
30          79.42%     59.40%    17.0
31          80.09%     72.80%    18.0
33          75.23%     90.91%    11.0
34          79.79%     71.64%    17.0
35          80.52%     90.62%    18.0
36          80.94%     63.81%    18.0
38          80.51%     73.48%    19.0
39          79.17%     74.72%    20.0
42          80.38%     67.99%    19.0
43          79.92%     68.21%    20.0
45          78.87%     75.72%    17.0
46          79.40%     60.95%    20.0
47          80.46%     49.28%    20.0
48          80.48%     92.06%    20.0
49          78.74%     89.82%    19.0
50          80.78%     88.21%    20.0
51          81.09%     64.09%    19.0
53          79.79%     61.85%    17.0
54          80.36%     84.17%    19.0

mean_val  = 79.90%  ±  1.07%
mean_test = 67.89%  ±  13.47%
best      = 14 (94.10%)
worst     = 06 (39.67%)
n         = 44/44
