phase        = baseline
protocol     = cross
approach     = feature
model        = SGD_SVM
channels     = 24
date         = 2026-06-13

subject    val_acc   test_acc   epochs
------------------------------------------
03             N/A     83.09%      N/A
04             N/A     71.65%      N/A
05             N/A     52.75%      N/A
06             N/A     35.00%      N/A
07             N/A     51.09%      N/A
08             N/A     74.35%      N/A
09             N/A     76.56%      N/A
10             N/A     73.91%      N/A
11             N/A     66.42%      N/A
12             N/A     74.91%      N/A
13             N/A     79.58%      N/A
14             N/A     87.82%      N/A
15             N/A     60.22%      N/A
16             N/A     63.20%      N/A
17             N/A     70.88%      N/A
18             N/A     68.71%      N/A
19             N/A     60.65%      N/A
20             N/A     78.44%      N/A
22             N/A     54.09%      N/A
23             N/A     63.74%      N/A
24             N/A     89.36%      N/A
25             N/A     60.00%      N/A
26             N/A     35.74%      N/A
27             N/A     71.07%      N/A
29             N/A     75.19%      N/A
30             N/A     60.53%      N/A
31             N/A     51.72%      N/A
33             N/A     92.73%      N/A
34             N/A     43.27%      N/A
35             N/A     91.41%      N/A
36             N/A     58.58%      N/A
38             N/A     81.06%      N/A
39             N/A     69.52%      N/A
42             N/A     70.50%      N/A
43             N/A     73.57%      N/A
45             N/A     72.46%      N/A
46             N/A     78.10%      N/A
47             N/A     45.68%      N/A
48             N/A     87.00%      N/A
49             N/A     85.45%      N/A
50             N/A     90.87%      N/A
51             N/A     53.28%      N/A
53             N/A     62.96%      N/A
54             N/A     91.89%      N/A

mean_val  = N/A
mean_test = 69.07%  ±  14.79%
best      = 33 (92.73%)
worst     = 06 (35.00%)
n         = 44/44
