phase        = baseline
protocol     = within
approach     = DL
model        = EEGNet
channels     = 24
date         = 2026-06-12

subject    val_acc   test_acc   epochs
------------------------------------------
03          96.30%     94.48%    11.3
04          84.62%     82.74%    11.7
05          84.52%     78.72%    16.3
06          47.62%     45.07%     5.0
07          83.33%     84.79%    15.7
08          86.90%     82.18%    14.7
09          91.53%     86.71%    14.0
10          92.86%     84.51%    11.0
11          78.57%     69.84%     7.7
12          97.62%     91.80%    11.3
13          90.48%     84.85%     9.3
14          92.86%     92.61%    10.7
15          84.52%     81.84%     8.7
16          96.30%     91.50%    13.7
17          95.15%     91.18%    14.7
18          86.90%     83.95%     8.0
19          96.43%     89.47%    11.7
20          95.24%     90.79%    12.7
22          94.05%     90.35%    14.0
23          86.90%     79.33%    10.7
24          95.24%     91.78%    10.3
25          88.89%     82.71%    14.3
26          91.67%     86.51%    12.3
27          98.81%     90.71%    11.7
29          95.06%     86.48%     9.7
30         100.00%     93.93%    12.0
31          88.10%     88.15%    13.7
33          96.43%     95.56%    13.0
34          91.67%     90.28%    13.3
35          87.27%     81.47%     9.7
36          90.48%     79.99%    11.0
38          87.65%     79.90%    10.7
39          91.36%     85.77%    10.0
42         100.00%     91.34%    12.0
43          91.67%     84.28%    11.3
45          98.81%     90.59%    12.3
46          89.29%     87.50%    10.0
47          91.67%     91.40%    10.0
48          97.62%     95.66%    12.7
49          91.67%     90.55%    12.7
50          96.15%     91.79%    13.0
51          83.57%     77.49%    12.7
53          79.76%     81.02%    13.3
54          89.79%     83.74%    11.0

mean_val  = 90.35%  ±  8.36%
mean_test = 85.80%  ±  8.28%
best      = 48 (95.66%)
worst     = 06 (45.07%)
n         = 44/44
