phase        = baseline
protocol     = within
approach     = DL
model        = EMG_TCN
channels     = 24
date         = 2026-06-12

subject    val_acc   test_acc   epochs
------------------------------------------
03         100.00%     99.63%     5.3
04          98.72%     96.40%     9.0
05          98.81%     97.80%    11.3
06          85.71%     83.99%    13.7
07          98.81%     94.65%     8.0
08         100.00%     96.32%     7.0
09         100.00%     96.32%     8.0
10          98.81%     94.93%     6.3
11         100.00%     96.20%     9.7
12         100.00%     99.27%     7.0
13          97.62%     90.83%     7.7
14         100.00%     97.78%     8.0
15          89.29%     87.17%     5.3
16         100.00%     98.50%     5.3
17         100.00%     99.23%     5.7
18         100.00%     96.03%     6.0
19         100.00%     96.74%     7.0
20          97.62%     95.55%     4.7
22         100.00%     98.57%     4.3
23         100.00%     97.79%     9.3
24         100.00%     98.60%     4.3
25          97.53%     93.21%     7.3
26         100.00%     97.49%     7.3
27         100.00%     97.88%     5.7
29         100.00%     98.84%     5.3
30         100.00%     97.35%     9.3
31         100.00%     97.68%     7.3
33         100.00%     97.13%     6.0
34         100.00%     98.57%     5.7
35          98.77%     95.99%     8.0
36         100.00%     97.77%     8.0
38          98.77%     96.66%     6.7
39         100.00%     97.79%     8.3
42         100.00%     99.63%     5.7
43          98.81%     97.16%     5.7
45         100.00%     95.62%     5.7
46         100.00%     97.10%     4.7
47         100.00%     96.74%     5.7
48         100.00%     95.75%     4.3
49          97.62%     96.32%     6.0
50         100.00%     98.50%     8.3
51          98.72%     95.42%    11.3
53         100.00%     97.04%     5.7
54          97.44%     95.38%     5.0

mean_val  = 98.93%  ±  2.66%
mean_test = 96.44%  ±  2.91%
best      = 42 (99.63%)
worst     = 06 (83.99%)
n         = 44/44
