phase        = baseline
protocol     = within
approach     = DL
model        = ShallowConvNet
channels     = 24
date         = 2026-06-12

subject    val_acc   test_acc   epochs
------------------------------------------
03         100.00%     95.95%     5.0
04          88.46%     88.13%     8.3
05          94.05%     89.00%    12.0
06          70.24%     72.38%     9.7
07          95.24%     87.69%    10.3
08          94.05%     87.35%     6.7
09          97.57%     95.26%     6.0
10          95.24%     90.94%     5.0
11          92.86%     88.68%     9.0
12          97.62%     95.35%     5.3
13          91.67%     84.42%     4.7
14          98.81%     95.54%     5.3
15          91.67%     88.33%     8.7
16          98.81%     93.39%     5.0
17          92.64%     95.33%     7.3
18          96.43%     94.65%     8.0
19          96.43%     92.81%     6.3
20          98.81%     93.72%     7.0
22          96.43%     95.71%     5.3
23          88.10%     91.54%     9.3
24          98.81%     94.63%     7.7
25          90.12%     88.31%     9.7
26          96.43%     93.10%     8.0
27          97.62%     96.39%     6.0
29          96.30%     95.35%     6.7
30          98.77%     94.68%     6.0
31          92.86%     93.53%     8.3
33         100.00%     94.87%     6.0
34         100.00%     95.63%     5.7
35          98.72%     94.92%     5.3
36          95.24%     95.55%     7.3
38          98.77%     89.81%     7.3
39          93.83%     90.41%     8.3
42         100.00%     95.69%     8.7
43          96.43%     93.57%     7.3
45          96.43%     96.06%     5.3
46          96.43%     91.29%     5.3
47          89.29%     93.15%    10.3
48          97.62%     96.03%     4.7
49          96.43%     96.69%     4.7
50          97.44%     92.77%     6.3
51          93.64%     83.45%     7.0
53          92.86%     91.40%     9.7
54          94.87%     92.72%     6.7

mean_val  = 95.09%  ±  4.90%
mean_test = 92.19%  ±  4.46%
best      = 49 (96.69%)
worst     = 06 (72.38%)
n         = 44/44
