phase        = baseline
protocol     = within
approach     = feature
model        = FeatureMLP
channels     = 24
date         = 2026-06-12

subject    val_acc   test_acc   epochs
------------------------------------------
03          75.08%     82.87%     7.3
04          74.56%     84.74%     2.3
05          58.84%     65.95%     8.3
06          38.23%     44.07%     3.7
07          61.90%     63.35%     6.7
08          71.02%     73.92%     6.3
09          65.18%     69.75%     3.7
10          63.46%     75.33%     3.3
11          52.75%     53.17%     3.7
12          66.76%     76.96%     3.3
13          68.64%     77.26%    10.3
14          69.73%     80.08%     2.3
15          54.85%     60.13%     2.7
16          63.05%     64.10%     3.0
17          61.69%     71.80%     2.7
18          61.13%     63.44%     3.0
19          63.14%     70.49%     5.7
20          51.37%     57.89%     4.7
22          59.02%     66.23%     4.3
23          75.27%     77.98%     4.0
24          81.41%     87.86%     4.0
25          62.92%     62.38%     3.3
26          64.79%     72.24%     6.0
27          70.70%     75.29%     8.7
29          86.47%     89.28%     5.0
30          69.42%     74.58%     2.0
31          71.06%     81.76%     8.3
33          76.51%     85.28%     5.0
34          64.24%     70.84%     3.0
35          76.93%     85.51%     6.7
36          59.16%     63.44%     3.7
38          71.13%     78.79%     6.7
39          69.33%     70.41%     6.3
42          75.60%     86.72%     4.3
43          42.81%     49.15%     2.7
45          64.38%     69.62%     6.3
46          65.84%     70.80%     5.0
47          64.38%     74.86%     2.3
48          73.86%     76.82%     1.7
49          86.72%     89.10%     5.0
50          68.23%     78.63%     3.7
51          38.54%     40.61%     4.0
53          72.48%     87.30%     8.7
54          57.89%     59.50%     2.0

mean_val  = 65.69%  ±  10.43%
mean_test = 71.82%  ±  11.62%
best      = 29 (89.28%)
worst     = 51 (40.61%)
n         = 44/44
