phase        = baseline
protocol     = within
approach     = feature
model        = SVM
channels     = 24
date         = 2026-06-12

subject    val_acc   test_acc   epochs
------------------------------------------
03             N/A     98.89%      N/A
04             N/A     94.48%      N/A
05             N/A     90.10%      N/A
06             N/A     76.62%      N/A
07             N/A     90.60%      N/A
08             N/A     95.49%      N/A
09             N/A     98.19%      N/A
10             N/A     96.75%      N/A
11             N/A     93.97%      N/A
12             N/A     98.21%      N/A
13             N/A     90.16%      N/A
14             N/A     98.16%      N/A
15             N/A     92.68%      N/A
16             N/A     97.04%      N/A
17             N/A     97.74%      N/A
18             N/A     93.90%      N/A
19             N/A     99.28%      N/A
20             N/A     97.42%      N/A
22             N/A     98.59%      N/A
23             N/A     97.06%      N/A
24             N/A     99.64%      N/A
25             N/A     93.18%      N/A
26             N/A     91.69%      N/A
27             N/A     98.91%      N/A
29             N/A     97.68%      N/A
30             N/A     97.41%      N/A
31             N/A     98.44%      N/A
33             N/A     98.89%      N/A
34             N/A     98.93%      N/A
35             N/A     98.85%      N/A
36             N/A     98.13%      N/A
38             N/A     98.89%      N/A
39             N/A     97.03%      N/A
42             N/A     99.28%      N/A
43             N/A     97.87%      N/A
45             N/A     98.55%      N/A
46             N/A     99.27%      N/A
47             N/A     99.31%      N/A
48             N/A     98.53%      N/A
49             N/A     97.45%      N/A
50             N/A     97.72%      N/A
51             N/A     92.41%      N/A
53             N/A     97.06%      N/A
54             N/A     97.29%      N/A

mean_val  = N/A
mean_test = 96.31%  ±  4.01%
best      = 24 (99.64%)
worst     = 06 (76.62%)
n         = 44/44
