phase        = efficient
protocol     = cross
approach     = DL
model        = EEGNet
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-15

subject    val_acc   test_acc   epochs
------------------------------------------
03          87.34%     91.91%    19.0
04          85.07%     71.65%     6.0
05          87.60%     67.77%    14.0
06          88.59%     60.33%    18.0
07          87.60%     63.41%    11.0
08          87.43%     84.01%    16.0
09          87.17%     84.25%    18.0
10          87.68%     88.41%    13.0
11          86.51%     69.81%     9.0
12          85.62%     77.78%    19.0
13          86.29%     76.76%    16.0
14          86.83%     94.46%    15.0
15          85.10%     81.75%    10.0
16          84.79%     78.07%     8.0
17          86.14%     69.73%    19.0
18          87.43%     83.09%    20.0
19          87.07%     63.18%    19.0
20          85.46%     85.87%    15.0
22          86.13%     63.70%    10.0
23          86.48%     70.33%     9.0
24          84.33%     90.43%     9.0
25          85.56%     81.89%    14.0
26          86.91%     56.32%    16.0
27          85.62%     90.00%    16.0
29          85.14%     93.80%    12.0
30          85.90%     81.95%    10.0
31          85.47%     66.28%     5.0
33          86.13%     94.91%     9.0
34          85.89%     66.18%    16.0
35          86.17%     81.25%    11.0
36          87.28%     83.58%    11.0
38          87.28%     88.64%    20.0
39          86.06%     84.39%    17.0
42          86.73%     80.94%    17.0
43          87.93%     88.21%    19.0
45          86.66%     88.04%    17.0
46          86.47%     94.53%    18.0
47          86.22%     56.12%     9.0
48          86.90%     94.95%    14.0
49          86.74%     89.82%    18.0
50          86.58%     90.49%    20.0
51          87.44%     78.76%    16.0
53          86.57%     82.96%    20.0
54          85.74%     89.96%    11.0

mean_val  = 86.45%  ±  0.91%
mean_test = 80.02%  ±  11.06%
best      = 48 (94.95%)
worst     = 47 (56.12%)
n         = 44/44
