phase        = efficient
protocol     = cross
approach     = DL
model        = EMG_TCN
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-16

subject    val_acc   test_acc   epochs
------------------------------------------
03          92.81%     87.87%    13.0
04          91.55%     80.31%    15.0
05          94.35%     68.50%    20.0
06          92.37%     53.67%    13.0
07          93.33%     54.35%    16.0
08          93.07%     88.10%    14.0
09          93.33%     84.62%    20.0
10          91.79%     93.12%     7.0
11          93.60%     79.25%    18.0
12          93.49%     79.93%    18.0
13          93.32%     77.11%    12.0
14          91.96%     95.94%     8.0
15          94.01%     83.58%    19.0
16          93.25%     87.73%    18.0
17          92.56%     75.10%    13.0
18          92.30%     88.49%    18.0
19          91.78%     72.20%     9.0
20          93.58%     79.93%    20.0
22          91.10%     65.84%     8.0
23          90.33%     83.15%     8.0
24          94.09%     90.78%    14.0
25          92.39%     93.96%    14.0
26          94.01%     52.71%    12.0
27          94.26%     97.50%    17.0
29          90.52%     96.90%     8.0
30          93.08%     87.97%    18.0
31          93.08%     77.78%    20.0
33          93.58%     96.73%    14.0
34          93.33%     72.00%    20.0
35          93.25%     94.92%    12.0
36          93.25%     91.42%    19.0
38          92.83%     83.71%    19.0
39          93.24%     89.96%    20.0
42          93.49%     87.41%    16.0
43          91.61%     89.29%     7.0
45          90.68%     89.13%    16.0
46          92.64%     94.53%    12.0
47          94.18%     64.75%    19.0
48          93.49%     95.31%    12.0
49          91.87%     94.18%    11.0
50          92.22%     91.25%    15.0
51          92.48%     72.97%    20.0
53          93.07%     87.41%    10.0
54          92.49%     96.91%    12.0

mean_val  = 92.80%  ±  0.99%
mean_test = 83.37%  ±  11.83%
best      = 27 (97.50%)
worst     = 26 (52.71%)
n         = 44/44
