phase        = efficient
protocol     = cross
approach     = DL
model        = ShallowConvNet
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-16

subject    val_acc   test_acc   epochs
------------------------------------------
03          86.83%     86.40%     8.0
04          86.86%     79.53%     7.0
05          88.62%     67.77%    11.0
06          87.82%     64.67%     4.0
07          89.05%     63.77%    12.0
08          87.34%     82.16%    10.0
09          88.37%     80.59%    11.0
10          87.77%     88.04%    18.0
11          88.64%     70.94%    16.0
12          86.47%     71.33%    11.0
13          88.09%     77.82%    12.0
14          86.57%     92.25%     9.0
15          88.10%     86.86%    14.0
16          87.44%     79.18%    15.0
17          85.97%     67.43%     4.0
18          87.34%     78.06%     5.0
19          87.67%     68.23%    12.0
20          88.20%     84.01%    15.0
22          87.24%     65.48%     9.0
23          85.97%     75.09%    16.0
24          87.33%     88.30%    17.0
25          86.84%     87.55%    17.0
26          88.28%     51.99%    12.0
27          87.76%     92.50%    14.0
29          87.19%     99.61%    13.0
30          87.86%     83.08%    18.0
31          88.89%     64.75%    15.0
33          86.30%     97.09%     8.0
34          87.00%     66.18%     9.0
35          87.28%     81.25%    19.0
36          87.62%     88.43%    15.0
38          87.02%     84.85%    13.0
39          86.48%     79.18%    13.0
42          86.56%     88.13%     6.0
43          86.64%     90.71%     6.0
45          85.29%     85.51%    18.0
46          86.90%     93.80%    14.0
47          89.21%     64.75%    12.0
48          86.30%     93.86%     8.0
49          86.14%     88.73%    11.0
50          87.86%     89.73%     9.0
51          86.75%     77.99%    13.0
53          85.20%     79.26%     4.0
54          86.51%     91.51%    13.0

mean_val  = 87.26%  ±  0.94%
mean_test = 80.42%  ±  10.73%
best      = 29 (99.61%)
worst     = 26 (51.99%)
n         = 44/44
