phase        = efficient
protocol     = cross
approach     = feature
model        = FeatureMLP
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-16

subject    val_acc   test_acc   epochs
------------------------------------------
03          50.45%     49.26%    13.0
04          53.79%     49.21%    19.0
05          50.94%     41.39%    10.0
06          52.30%     38.67%    18.0
07          53.25%     31.88%    20.0
08          52.03%     49.07%    12.0
09          51.41%     46.15%    19.0
10          53.10%     61.23%    20.0
11          51.97%     49.81%    16.0
12          52.58%     62.01%    19.0
13          53.36%     56.69%    14.0
14          51.41%     71.96%    16.0
15          49.63%     47.45%    10.0
16          50.78%     51.30%    12.0
17          61.04%     65.90%    18.0
18          51.00%     53.24%    19.0
19          49.49%     47.29%    12.0
20          50.58%     36.43%    18.0
22          57.82%     44.84%    20.0
23          49.81%     45.79%    14.0
24          54.69%     65.96%    20.0
25          51.93%     53.96%    19.0
26          49.13%     34.30%    13.0
27          48.43%     66.79%    15.0
29          51.49%     68.99%    19.0
30          50.57%     34.96%    20.0
31          50.28%     44.83%     2.0
33          41.99%     64.36%    11.0
34          54.30%     50.55%    11.0
35          56.04%     68.36%    17.0
36          54.15%     52.24%    20.0
38          54.64%     56.06%    16.0
39          54.98%     69.89%    19.0
42          51.91%     54.32%     3.0
43          53.15%     60.36%    19.0
45          53.82%     56.52%    17.0
46          49.82%     54.01%     6.0
47          52.59%     35.97%     7.0
48          54.73%     71.12%    13.0
49          54.40%     54.18%    13.0
50          49.81%     68.06%     2.0
51          52.90%     50.97%    19.0
53          54.10%     51.85%    13.0
54          51.23%     58.69%     2.0

mean_val  = 52.22%  ±  2.85%
mean_test = 53.34%  ±  10.67%
best      = 14 (71.96%)
worst     = 07 (31.88%)
n         = 44/44
