phase        = efficient
protocol     = cross
approach     = feature
model        = SGD_SVM
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-16

subject    val_acc   test_acc   epochs
------------------------------------------
03             N/A     63.60%      N/A
04             N/A     65.35%      N/A
05             N/A     53.11%      N/A
06             N/A     43.33%      N/A
07             N/A     51.81%      N/A
08             N/A     59.85%      N/A
09             N/A     69.23%      N/A
10             N/A     70.29%      N/A
11             N/A     49.81%      N/A
12             N/A     62.37%      N/A
13             N/A     70.77%      N/A
14             N/A     80.81%      N/A
15             N/A     52.92%      N/A
16             N/A     54.28%      N/A
17             N/A     72.80%      N/A
18             N/A     63.31%      N/A
19             N/A     53.07%      N/A
20             N/A     78.81%      N/A
22             N/A     49.11%      N/A
23             N/A     73.26%      N/A
24             N/A     65.25%      N/A
25             N/A     53.21%      N/A
26             N/A     34.30%      N/A
27             N/A     72.14%      N/A
29             N/A     77.52%      N/A
30             N/A     54.51%      N/A
31             N/A     54.79%      N/A
33             N/A     79.64%      N/A
34             N/A     48.00%      N/A
35             N/A     70.70%      N/A
36             N/A     68.66%      N/A
38             N/A     64.02%      N/A
39             N/A     72.49%      N/A
42             N/A     62.95%      N/A
43             N/A     63.57%      N/A
45             N/A     63.41%      N/A
46             N/A     61.31%      N/A
47             N/A     44.60%      N/A
48             N/A     72.20%      N/A
49             N/A     73.09%      N/A
50             N/A     73.76%      N/A
51             N/A     55.98%      N/A
53             N/A     54.07%      N/A
54             N/A     75.68%      N/A

mean_val  = N/A
mean_test = 62.59%  ±  10.83%
best      = 14 (80.81%)
worst     = 26 (34.30%)
n         = 44/44
