phase        = efficient
protocol     = within
approach     = DL
model        = EEGNet
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-15

subject    val_acc   test_acc   epochs
------------------------------------------
03         100.00%     96.32%    12.0
04          87.18%     80.29%    15.7
05          82.14%     75.08%    11.0
06          60.71%     60.37%    10.0
07          85.71%     73.23%    13.3
08          88.10%     70.16%    14.0
09          92.64%     82.77%    13.0
10          84.52%     75.89%    11.0
11          89.29%     78.10%    14.7
12          88.10%     85.60%    12.0
13          86.90%     79.12%     9.7
14          86.90%     82.77%     8.3
15          82.14%     82.51%    11.0
16          90.21%     89.95%    12.3
17          78.22%     76.74%     8.3
18          75.00%     73.04%     9.0
19          85.71%     79.65%     9.0
20          85.71%     80.19%     9.0
22          92.86%     92.53%    14.7
23          77.38%     71.63%     7.0
24          90.48%     90.51%    14.3
25          81.48%     80.84%     9.3
26          90.48%     87.35%    18.3
27          94.05%     90.77%    10.7
29          88.89%     78.13%     9.7
30          98.77%     91.97%    15.7
31          89.29%     80.36%    11.7
33          91.67%     93.05%    15.0
34          89.29%     85.62%    14.3
35          89.89%     86.25%    10.7
36          77.38%     72.44%     5.3
38          91.36%     88.62%    16.3
39          88.89%     83.31%    12.7
42          92.86%     89.21%    14.3
43          91.67%     79.51%    10.7
45          88.10%     76.80%     8.7
46          84.52%     80.70%    12.3
47          89.29%     83.24%     9.0
48          96.43%     91.26%    10.7
49          85.71%     82.07%    14.3
50          83.48%     70.73%     6.7
51          70.75%     71.52%     9.3
53          83.33%     81.29%    11.0
54          84.81%     79.84%    13.0

mean_val  = 86.64%  ±  7.02%
mean_test = 81.39%  ±  7.39%
best      = 03 (96.32%)
worst     = 06 (60.37%)
n         = 44/44
