phase        = efficient
protocol     = within
approach     = DL
model        = EMG_TCN
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-15

subject    val_acc   test_acc   epochs
------------------------------------------
03         100.00%     98.88%     4.7
04          97.44%     96.81%     7.7
05          94.05%     90.49%     6.0
06          76.19%     73.68%     7.7
07          96.43%     95.28%    10.7
08          98.81%     94.47%     8.0
09          98.77%     96.33%     8.0
10          97.62%     94.92%     8.7
11          97.62%     90.61%     8.3
12         100.00%     98.92%     5.0
13          96.43%     88.72%     6.3
14          97.62%     96.66%     8.0
15          91.67%     88.77%     8.3
16          98.77%     97.42%     8.0
17          98.77%     96.27%     7.0
18          95.24%     92.87%     8.0
19          98.81%     96.37%     6.7
20          96.43%     95.49%     8.3
22         100.00%     97.52%     4.7
23         100.00%     96.67%     8.7
24         100.00%     96.76%     5.7
25          97.53%     94.66%    15.0
26          96.43%     92.45%     5.7
27         100.00%     98.60%     6.0
29         100.00%     96.57%     7.0
30         100.00%     95.43%     6.3
31         100.00%     96.89%     9.7
33         100.00%     98.91%     5.7
34         100.00%     98.92%     7.7
35          98.77%     96.80%     8.0
36         100.00%     97.00%    10.7
38          96.30%     94.62%     6.7
39         100.00%     96.69%     7.3
42         100.00%     98.94%     5.7
43         100.00%     96.04%     7.0
45          98.81%     96.03%     7.3
46         100.00%     98.19%     6.3
47         100.00%     99.29%     9.7
48         100.00%     92.43%     7.7
49          96.43%     95.61%     8.0
50          96.15%     94.34%     6.3
51          91.12%     85.07%     9.0
53          98.81%     97.40%     7.7
54          97.44%     95.16%     5.7

mean_val  = 97.69%  ±  3.93%
mean_test = 95.00%  ±  4.43%
best      = 47 (99.29%)
worst     = 06 (73.68%)
n         = 44/44
