phase        = efficient
protocol     = within
approach     = DL
model        = ShallowConvNet
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-15

subject    val_acc   test_acc   epochs
------------------------------------------
03          97.57%     91.93%     6.0
04          85.90%     83.78%     5.0
05          89.29%     83.86%     8.3
06          69.05%     61.09%     5.0
07          90.48%     85.48%    10.0
08          90.48%     80.68%     4.7
09          96.34%     95.22%     6.7
10          97.62%     89.85%     6.3
11          90.48%     84.91%     9.7
12          97.62%     94.32%     7.0
13          89.29%     82.69%     5.3
14          97.62%     91.10%     4.0
15          85.71%     82.49%     7.0
16          96.34%     93.00%     5.0
17          88.93%     93.53%     7.7
18          86.90%     84.89%     5.7
19          92.86%     92.10%     5.7
20          96.43%     87.70%     7.0
22          96.43%     96.44%     8.3
23          88.10%     90.82%     8.0
24          95.24%     89.37%     5.0
25          91.36%     86.83%     7.3
26          91.67%     86.59%     8.7
27          97.62%     93.23%     4.7
29          97.53%     97.26%     9.3
30          97.53%     92.43%     6.3
31          92.86%     87.78%     9.7
33          96.43%     96.33%     4.3
34          96.43%     94.21%     5.7
35          96.20%     89.70%     7.3
36          92.86%     93.29%     6.3
38          98.77%     95.79%     9.7
39          91.36%     88.58%     6.7
42          95.24%     91.69%     6.3
43          95.24%     91.77%     6.3
45          90.48%     91.28%     6.7
46          95.24%     87.19%     4.3
47          86.90%     86.29%     6.3
48          94.05%     93.81%     7.3
49          91.67%     91.97%     6.3
50          87.27%     86.35%     7.3
51          85.99%     74.12%     5.3
53          89.29%     91.91%     8.7
54          92.31%     92.40%     6.7

mean_val  = 92.34%  ±  5.25%
mean_test = 89.00%  ±  6.37%
best      = 29 (97.26%)
worst     = 06 (61.09%)
n         = 44/44
