phase        = efficient
protocol     = within
approach     = feature
model        = FeatureMLP
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-15

subject    val_acc   test_acc   epochs
------------------------------------------
03          62.52%     70.61%     7.3
04          58.93%     67.97%     1.7
05          44.05%     54.20%     7.7
06          46.98%     51.62%    12.7
07          40.93%     43.92%    11.7
08          55.59%     56.50%     1.7
09          53.86%     58.52%     2.3
10          49.36%     57.35%     1.7
11          51.05%     58.46%     4.0
12          62.68%     72.86%     5.3
13          50.27%     56.98%     3.7
14          65.48%     80.44%     2.7
15          47.21%     48.86%     3.7
16          58.88%     68.79%     2.0
17          54.25%     67.10%     9.7
18          45.33%     48.55%     4.3
19          63.19%     73.15%     7.7
20          42.26%     40.58%     1.3
22          56.55%     64.14%     4.7
23          76.65%     82.79%     7.7
24          71.02%     75.21%     1.7
25          48.96%     53.91%     1.3
26          49.27%     52.58%     8.7
27          65.25%     66.60%     6.7
29          73.22%     77.93%     7.7
30          67.24%     75.25%     2.7
31          54.58%     59.74%     2.0
33          63.78%     72.47%     2.0
34          62.64%     79.28%     6.7
35          52.48%     48.06%     5.7
36          62.23%     73.05%     6.3
38          66.62%     72.75%     2.0
39          76.07%     85.46%     6.7
42          75.18%     77.94%     9.3
43          53.30%     62.23%     8.0
45          51.74%     55.76%     5.3
46          64.10%     69.34%    12.3
47          56.32%     66.56%     8.3
48          64.10%     68.54%     2.7
49          71.98%     78.48%     2.3
50          56.85%     68.40%     4.0
51          34.85%     41.27%     3.0
53          57.14%     65.28%     7.0
54          51.49%     60.52%     6.0

mean_val  = 57.65%  ±  9.82%
mean_test = 64.32%  ±  11.40%
best      = 39 (85.46%)
worst     = 20 (40.58%)
n         = 44/44
