phase        = efficient
protocol     = within
approach     = feature
model        = SVM
channels     = [0, 1, 5, 7, 14, 16, 19, 22]
date         = 2026-06-15

subject    val_acc   test_acc   epochs
------------------------------------------
03             N/A     97.78%      N/A
04             N/A     94.50%      N/A
05             N/A     89.75%      N/A
06             N/A     71.30%      N/A
07             N/A     80.11%      N/A
08             N/A     95.53%      N/A
09             N/A     95.27%      N/A
10             N/A     94.91%      N/A
11             N/A     89.46%      N/A
12             N/A     97.07%      N/A
13             N/A     86.97%      N/A
14             N/A     97.79%      N/A
15             N/A     89.09%      N/A
16             N/A     96.69%      N/A
17             N/A     96.16%      N/A
18             N/A     86.76%      N/A
19             N/A     97.84%      N/A
20             N/A     94.06%      N/A
22             N/A     97.16%      N/A
23             N/A     95.95%      N/A
24             N/A     99.64%      N/A
25             N/A     90.90%      N/A
26             N/A     88.76%      N/A
27             N/A     97.83%      N/A
29             N/A     97.28%      N/A
30             N/A     96.62%      N/A
31             N/A     95.42%      N/A
33             N/A     97.07%      N/A
34             N/A     96.77%      N/A
35             N/A     94.93%      N/A
36             N/A     97.39%      N/A
38             N/A     97.75%      N/A
39             N/A     95.55%      N/A
42             N/A     97.86%      N/A
43             N/A     95.71%      N/A
45             N/A     96.38%      N/A
46             N/A     97.80%      N/A
47             N/A     93.21%      N/A
48             N/A     96.73%      N/A
49             N/A     93.80%      N/A
50             N/A     96.20%      N/A
51             N/A     85.67%      N/A
53             N/A     95.96%      N/A
54             N/A     93.41%      N/A

mean_val  = N/A
mean_test = 93.93%  ±  5.29%
best      = 24 (99.64%)
worst     = 06 (71.30%)
n         = 44/44
